,Min_airspeed1_OFF,Min_airspeed2_OFF,Min_airspeedave_OFF,Min_airspeedave_err_OFF,Max_pitchangle1_OFF,Max_pitchangle2_OFF,Max_pitchangleave_OFF,Max_pitchangleave_err_OFF,timeMin_airspeed1_OFF,timeMin_airspeed2_OFF,timeMax_pitchangle1_OFF,timeMax_pitchangle2_OFF,time_fin_OFF,Airspeed_fin_OFF,Pitchangle_fin_OFF,Min_airspeed1_ON,Min_airspeed2_ON,Min_airspeedave_ON,Min_airspeedave_err_ON,Max_pitchangle1_ON,Max_pitchangle2_ON,Max_pitchangleave_ON,Max_pitchangleave_err_ON,timeMin_airspeed1_ON,timeMin_airspeed2_ON,timeMax_pitchangle1_ON,timeMax_pitchangle2_ON,time_fin_ON,Airspeed_fin_ON,Pitchangle_fin_ON,casename
20181215-1046-1,7.861782958473323,7.999275933593707,7.930529446033515,0.0687464875601922,15.726211619408204,13.31935457574153,14.522783097574866,1.2034285218333372,33.71961699999994,33.01431199999996,33.01431199999996,33.71961699999994,33.71961699999994,7.861782958473323,13.31935457574153,6.225139224299097,6.225139224299097,6.225139224299097,0.0,19.46779096903554,19.46779096903554,19.46779096903554,0.0,27.350132999999914,27.350132999999914,27.350132999999914,27.350132999999914,28.765938000000066,7.2312009801174995,14.17312322844968,20181215-1046-1
20181215-1046-2,6.300401948538253,7.063867786159487,6.68213486734887,0.3817329188106169,18.81440829763278,14.600077596609689,16.707242947121234,2.107165350511546,33.70998500000002,30.16749400000009,30.16749400000009,33.70998500000002,39.11091099999999,7.653774365921322,18.25451040344559,7.069288518656607,7.581582759157264,7.325435638906935,0.2561471202503287,17.198537654039498,14.758574727163673,15.978556190601585,1.2199814634379127,43.56536400000022,43.255619000000074,43.255619000000074,43.56536400000022,43.56536400000022,7.069288518656607,14.758574727163673,20181215-1046-2
20181215-1046-3,6.903503993390952,7.433438165389652,7.168471079390303,0.2649670859993498,19.19332388838816,14.608480554393976,16.900902221391068,2.2924216669970923,37.472525000000026,40.72689100000002,40.72689100000002,37.472525000000026,40.72689100000002,7.433438165389652,19.19332388838816,6.072245617853452,6.774670600845227,6.4234581093493395,0.35121249149588785,22.534120495802394,22.1675082718143,22.35081438380835,0.18330611199404778,46.34442999999999,46.53547300000002,46.53547300000002,46.34442999999999,47.56674000000021,6.419167693602282,19.40138276403906,20181215-1046-3
20181215-1046-4,7.356785768368031,8.468809420392152,7.912797594380091,0.5560118260120603,17.34132130570236,15.832249868983931,16.586785587343144,0.7545357183592136,18.39348100000018,17.771286999999916,17.771286999999916,18.39348100000018,20.52079900000001,7.6150863722679185,10.241220724551676,5.1779539503006795,5.236591996101153,5.207272973200917,0.029319022900236913,21.68652210491486,21.397677582974367,21.542099843944612,0.1444222609702468,32.184700999999905,32.28168099999982,32.28168099999982,32.184700999999905,32.28168099999982,5.236591996101153,21.68652210491486,20181215-1046-4
20181215-1046-5,5.46211034113675,7.180965302711457,6.321537821924103,0.8594274807873536,24.87303084409109,23.619933209501852,24.24648202679647,0.6265488172946192,36.88614699999994,36.465224999999926,36.465224999999926,36.88614699999994,39.10994799999981,6.348008844246707,22.90085111357879,4.60031504823904,6.2961415490697075,5.4482282986543735,0.8479132504153339,23.391140106850774,20.31470127871012,21.852920692780447,1.5382194140703263,45.90203599999995,46.41944600000011,46.41944600000011,45.90203599999995,47.223182000000065,6.012298605562763,20.662181908947485,20181215-1046-5
20181215-1113-1,6.45925811711906,6.936750989138616,6.698004553128838,0.23874643600977796,17.325908400973976,14.382472954962257,15.854190677968116,1.4717177230058596,50.16684300000003,50.47952100000003,50.47952100000003,50.16684300000003,53.537979000000036,6.582797620347375,14.655529335907495,6.722540624895957,8.026973903823244,7.3747572643596,0.6522166394636435,17.518266374717598,11.511487340222654,14.514876857470126,3.003389517247472,64.17826900000003,61.75100400000011,61.75100400000011,64.17826900000003,64.17826900000003,6.722540624895957,11.511487340222654,20181215-1113-1
20181215-1113-2,6.724183414836801,7.1738723383789305,6.949027876607866,0.22484446177106454,16.46307133055247,10.637349680488544,13.550210505520507,2.912860825031963,59.43265999999989,79.94059399999998,79.94059399999998,59.43265999999989,79.94059399999998,7.1738723383789305,16.46307133055247,6.649800645720723,6.819926860135728,6.734863752928225,0.08506310720750232,16.405196889021955,13.964945844884353,15.185071366953153,1.220125522068801,46.41685200000007,45.70577500000002,45.70577500000002,46.41685200000007,47.0363020000001,7.468341810416041,13.468894067093055,20181215-1113-2
20181215-1113-3,5.786018963717103,6.749401313975043,6.267710138846073,0.4816911751289701,24.103457316535312,21.371614774733523,22.737536045634418,1.3659212709008948,47.771101000000044,46.65345000000002,46.65345000000002,47.771101000000044,47.771101000000044,5.786018963717103,21.371614774733523,4.953225425065392,5.579755657972788,5.26649054151909,0.3132651164536977,21.88042422358955,21.6388347723526,21.759629497971076,0.1207947256184756,36.35991500000012,36.155525000000246,36.155525000000246,36.35991500000012,36.35991500000012,4.953225425065392,21.6388347723526,20181215-1113-3
20181216-0917-1,6.046323516505956,6.2763647260658635,6.16134412128591,0.11502060477995357,22.722376786394246,21.44180081569112,22.082088801042683,0.6402879853515628,43.069297999999996,42.059551000000035,42.059551000000035,43.069297999999996,43.069297999999996,6.046323516505956,21.44180081569112,6.787921774311923,7.1147165176623295,6.951319145987126,0.1633973716752033,18.938126861042267,17.192355995258936,18.0652414281506,0.8728854328916658,34.417057,28.440342000000047,28.440342000000047,34.417057,35.93628200000001,6.803961802973356,15.759277716442954,20181216-0917-1
20181216-0917-2,5.508719824909357,5.988838582290748,5.748779203600053,0.2400593786906957,21.971880539811245,18.587959337979783,20.279919938895514,1.6919606009157313,36.53532900000005,48.01883300000003,48.01883300000003,36.53532900000005,48.01883300000003,5.988838582290748,21.971880539811245,5.375048782301284,6.170406256620951,5.772727519461117,0.3976787371598336,20.48753781665464,18.78548205360095,19.636509935127798,0.8510278815268446,42.353798999999974,42.65656999999999,42.65656999999999,42.353798999999974,42.65656999999999,6.170406256620951,20.48753781665464,20181216-0917-2
20181216-0917-3,6.348951326478863,8.097447950626314,7.223199638552589,0.8742483120737257,17.561102984383915,16.31527783811434,16.938190411249128,0.6229125731347871,35.23672500000021,33.50803000000019,33.50803000000019,35.23672500000021,35.23672500000021,6.348951326478863,16.31527783811434,5.43505989654127,5.876199495249168,5.655629695895219,0.2205697993539486,24.40152748106424,21.93490076867128,23.16821412486776,1.2333133561964793,46.74704799999995,50.51270900000009,50.51270900000009,46.74704799999995,50.51270900000009,5.876199495249168,24.40152748106424,20181216-0917-3
20181216-1018-1,5.194507159279596,5.80929714105041,5.501902150165003,0.307394990885407,20.20036952056387,17.40592519412768,18.803147357345775,1.3972221632180961,48.87067600000007,47.15044500000002,47.15044500000002,48.87067600000007,49.48971399999985,5.314734181099143,19.20728862066233,5.3087276174689135,5.899213654444634,5.603970635956774,0.2952430184878603,18.465717439721026,17.254455963355696,17.86008670153836,0.6056307381826649,55.65792700000003,56.15063899999996,56.15063899999996,55.65792700000003,57.375981999999745,6.056654568277582,17.393027677536644,20181216-1018-1
20181216-1018-2,4.9446615845962105,5.477301023583483,5.210981304089847,0.2663197194936364,20.634690729983575,18.871273831706105,19.75298228084484,0.8817084491387348,24.07397399999991,30.49621000000002,30.49621000000002,24.07397399999991,34.249982999999816,6.893869546602043,17.52336775376007,5.207008141689309,5.5251350967379365,5.366071619213622,0.1590634775243136,19.16006199025616,17.649938563673143,18.40500027696465,0.755061713291509,49.87463200000008,57.79613699999987,57.79613699999987,49.87463200000008,59.52334499999989,5.928708390877305,16.42741525311847,20181216-1018-2
20181216-1018-3,5.455355434547217,5.7104418850922976,5.582898659819757,0.12754322527254036,18.56572758219121,17.852552194696013,18.209139888443612,0.35658769374759913,39.80931899999996,39.92447300000015,39.92447300000015,39.80931899999996,52.08421599999997,6.353770030040237,15.790545073465625,4.942963303651753,5.1964082229100335,5.069685763280893,0.12672245962914008,23.430978315391286,23.24966770347009,23.34032300943069,0.09065530596059723,52.0872589999999,52.278362000000016,52.278362000000016,52.0872589999999,52.80859699999985,5.0838319664841976,22.12069194843335,20181216-1018-3
20181216-1018-4,4.709050610951205,6.044062219716388,5.376556415333797,0.6675058043825914,19.879528304050503,19.017217492628795,19.44837289833965,0.43115540571085376,46.82709199999999,43.3687450000001,43.3687450000001,46.82709199999999,46.82709199999999,4.709050610951205,19.017217492628795,5.139991592105309,5.742276824125768,5.441134208115539,0.3011426160102295,17.47816978640722,14.414607965126125,15.946388875766672,1.5317809106405482,54.04863,54.85463700000002,54.85463700000002,54.04863,68.97850900000003,7.587535492466286,8.521891085839723,20181216-1018-4
20181216-1055-1,6.177192917900579,7.848227842325434,7.012710380113006,0.8355174622124273,20.62976737883524,19.43002094513278,20.02989416198401,0.5998732168512291,55.73889399999996,45.68301899999993,45.68301899999993,55.73889399999996,55.73889399999996,6.177192917900579,19.43002094513278,5.1342771292614,5.983835669751249,5.559056399506325,0.4247792702449247,19.343979513980397,17.797242846728793,18.570611180354597,0.7733683336258022,52.9064259999999,46.726217999999896,46.726217999999896,52.9064259999999,52.9064259999999,5.1342771292614,17.797242846728793,20181216-1055-1
20181216-1055-2,5.923844541787824,5.998881904320192,5.961363223054008,0.03751868126618385,20.90728891857282,20.78962579814902,20.84845735836092,0.058831560211899614,52.281683999999984,52.18521900000002,52.18521900000002,52.281683999999984,52.281683999999984,5.923844541787824,20.78962579814902,5.796078429936265,6.034238991149361,5.915158710542813,0.11908028060654807,18.95606093582348,17.89562916726466,18.42584505154407,0.5302158842794107,45.20014899999995,43.17113399999983,43.17113399999983,45.20014899999995,45.60745299999997,6.657685637948152,18.38410892277151,20181216-1055-2
20181216-1055-3,5.221744127739794,6.365586688685231,5.7936654082125125,0.5719212804727185,22.94907166833108,20.326059590289915,21.637565629310497,1.311506039020582,46.304651000000156,50.24937799999998,50.24937799999998,46.304651000000156,53.09429799999998,6.713059792898947,17.91548012293196,5.6986260613207875,6.040622019627159,5.8696240404739735,0.17099797915318593,20.903962170587057,20.170101735141397,20.537031952864226,0.36693021772282997,43.862971000000016,42.66164099999981,42.66164099999981,43.862971000000016,44.284327999999846,6.108244695799513,19.42420023231345,20181216-1055-3
20181216-1055-4,5.803010783315853,6.6032381039600185,6.203124443637936,0.40011366032208295,20.47195864411356,19.958326442335984,20.215142543224772,0.2568161008887877,40.60645,34.518442000000164,34.518442000000164,40.60645,42.117929,5.9216871618925735,18.812952330751205,4.321765456222922,5.293675534901498,4.80772049556221,0.48595503933928796,22.52235616221822,19.453110252796122,20.98773320750717,1.5346229547110486,51.19045400000028,55.0445319999999,55.0445319999999,51.19045400000028,66.13378799999998,6.143749107762897,19.322643629509514,20181216-1055-4
20190126-1-1,5.802764711902245,6.849752855848575,6.32625878387541,0.5234940719731647,18.002252887471467,15.886048316724048,16.944150602097757,1.0581022853737094,47.41147099999989,49.34308399999981,49.34308399999981,47.41147099999989,51.3853999999999,6.6823275142799,14.870564837106825,5.613719688031424,7.427160598625234,6.520440143328329,0.9067204552969046,18.466684131688343,17.495056546921056,17.9808703393047,0.4858137923836434,56.86335599999985,52.595983999999866,52.595983999999866,56.86335599999985,61.113562000000066,6.1364298339483945,17.717259163980998,20190126-1-1
20190126-1-2,6.0245538021461895,6.761985264354919,6.393269533250555,0.36871573110436495,18.727681319119803,16.593940785712267,17.660811052416037,1.0668702667037682,34.52448000000004,34.931927999999864,34.931927999999864,34.52448000000004,44.271729999999934,8.49221922801871,15.594256502125598,5.2371162724795655,6.099358105010396,5.668237188744981,0.4311209162654155,22.920727147237834,22.712080406200446,22.81640377671914,0.10432337051869389,59.415341999999676,59.808775999999845,59.808775999999845,59.415341999999676,61.1297559999997,5.375745635647321,22.502510028261728,20190126-1-2
20190126-1-3,5.258594865782423,6.123213022521299,5.690903944151861,0.4323090783694381,21.440162140519444,20.34511907234879,20.892640606434117,0.5475215340853268,86.22660400000005,86.62486200000014,86.62486200000014,86.22660400000005,87.44144400000003,6.9405451405087195,18.917390299886502,5.2791072161409085,5.2791072161409085,5.2791072161409085,0.0,23.10882288494329,23.10882288494329,23.10882288494329,0.0,54.13055499999962,54.13055499999962,54.13055499999962,54.13055499999962,54.13055499999962,5.2791072161409085,23.10882288494329,20190126-1-3
