all,ave,var,pres,name
0.385867691,6.03E-03,6.96E-03,980,noact
0.392690137,6.14E-03,6.54E-03,981,noact
0.376279584,5.88E-03,5.97E-03,982,noact
0.350059174,5.47E-03,5.20E-03,983,noact
0.346681654,5.42E-03,5.20E-03,984,noact
0.300008151,4.69E-03,6.43E-03,985,noact
0.28736288,4.49E-03,6.18E-03,986,noact
0.317670241,4.96E-03,4.61E-03,987,noact
0.304121717,4.75E-03,4.36E-03,988,noact
0.292975168,4.58E-03,4.13E-03,989,noact
0.250879226,3.92E-03,5.51E-03,990,noact
0.392044821,6.13E-03,6.39E-03,980,pos1-coflow-cont
0.391128285,6.11E-03,6.11E-03,981,pos1-coflow-cont
0.372630199,5.82E-03,6.39E-03,982,pos1-coflow-cont
0.362375437,5.66E-03,5.57E-03,983,pos1-coflow-cont
0.346169905,5.41E-03,5.16E-03,984,pos1-coflow-cont
0.301625951,4.71E-03,6.63E-03,985,pos1-coflow-cont
0.290005098,4.53E-03,5.23E-03,986,pos1-coflow-cont
0.314599531,4.92E-03,4.36E-03,987,pos1-coflow-cont
0.305715082,4.78E-03,4.43E-03,988,pos1-coflow-cont
0.292417083,4.57E-03,4.16E-03,989,pos1-coflow-cont
0.250471103,3.91E-03,5.62E-03,990,pos1-coflow-cont
0.390656787,6.10E-03,6.22E-03,980,pos1-coflow-f1
0.393242804,6.14E-03,6.77E-03,981,pos1-coflow-f1
0.284227821,4.44E-03,4.26E-03,982,pos1-coflow-f1
0.369448781,5.77E-03,5.68E-03,983,pos1-coflow-f1
0.362324195,5.66E-03,5.88E-03,984,pos1-coflow-f1
0.293299901,4.58E-03,6.09E-03,985,pos1-coflow-f1
0.284350848,4.44E-03,5.71E-03,986,pos1-coflow-f1
0.33029632,5.16E-03,4.77E-03,987,pos1-coflow-f1
0.318661611,4.98E-03,5.20E-03,988,pos1-coflow-f1
0.295004268,4.61E-03,4.25E-03,989,pos1-coflow-f1
0.239046563,3.74E-03,5.05E-03,990,pos1-coflow-f1
0.399697109,6.25E-03,6.97E-03,980,pos1-coflow-f6
0.384710867,6.01E-03,6.58E-03,981,pos1-coflow-f6
0.37257051,5.82E-03,5.55E-03,982,pos1-coflow-f6
0.37895689,5.92E-03,6.58E-03,983,pos1-coflow-f6
0.349961004,5.47E-03,5.17E-03,984,pos1-coflow-f6
0.293626022,4.59E-03,6.32E-03,985,pos1-coflow-f6
0.283055168,4.42E-03,6.13E-03,986,pos1-coflow-f6
0.257790569,4.03E-03,5.30E-03,987,pos1-coflow-f6
0.310684561,4.85E-03,4.69E-03,988,pos1-coflow-f6
0.289589266,4.52E-03,4.13E-03,989,pos1-coflow-f6
0.238359404,3.72E-03,4.92E-03,990,pos1-coflow-f6
0.405072869,6.33E-03,6.50E-03,980,pos1-counter-cont
0.39296001,6.14E-03,6.67E-03,981,pos1-counter-cont
0.377819071,5.90E-03,5.64E-03,982,pos1-counter-cont
0.366323874,5.72E-03,5.10E-03,983,pos1-counter-cont
0.350107466,5.47E-03,5.43E-03,984,pos1-counter-cont
0.334200021,5.22E-03,5.81E-03,985,pos1-counter-cont
0.333237216,5.21E-03,5.67E-03,986,pos1-counter-cont
0.339430792,5.30E-03,5.09E-03,987,pos1-counter-cont
0.325148643,5.08E-03,5.14E-03,988,pos1-counter-cont
0.307248274,4.80E-03,4.41E-03,989,pos1-counter-cont
0.258389978,4.04E-03,4.57E-03,990,pos1-counter-cont
0.399786182,6.25E-03,7.10E-03,980,pos1-counter-f1
0.390846471,6.11E-03,6.42E-03,981,pos1-counter-f1
0.380279766,5.94E-03,6.44E-03,982,pos1-counter-f1
0.373562535,5.84E-03,6.34E-03,983,pos1-counter-f1
0.363241516,5.68E-03,6.16E-03,984,pos1-counter-f1
0.281588287,4.40E-03,5.75E-03,985,pos1-counter-f1
0.276930114,4.33E-03,5.86E-03,986,pos1-counter-f1
0.3225196,5.04E-03,5.10E-03,987,pos1-counter-f1
0.32240838,5.04E-03,5.20E-03,988,pos1-counter-f1
0.302306221,4.72E-03,4.39E-03,989,pos1-counter-f1
0.240472474,3.76E-03,5.15E-03,990,pos1-counter-f1
0.403352427,6.30E-03,6.89E-03,980,pos1-counter-f6
0.393162002,6.14E-03,6.76E-03,981,pos1-counter-f6
0.384189717,6.00E-03,6.38E-03,982,pos1-counter-f6
0.365669119,5.71E-03,5.17E-03,983,pos1-counter-f6
0.36103221,5.64E-03,5.71E-03,984,pos1-counter-f6
0.29336879,4.58E-03,5.93E-03,985,pos1-counter-f6
0.279577213,4.37E-03,5.94E-03,986,pos1-counter-f6
0.326412486,5.10E-03,4.87E-03,987,pos1-counter-f6
0.318000636,4.97E-03,5.05E-03,988,pos1-counter-f6
0.225446021,3.52E-03,4.18E-03,989,pos1-counter-f6
0.239268424,3.74E-03,4.97E-03,990,pos1-counter-f6
0.404003634,6.31E-03,6.91E-03,980,pos3-coflow-cont
0.395056031,6.17E-03,6.67E-03,981,pos3-coflow-cont
0.374925393,5.86E-03,6.07E-03,982,pos3-coflow-cont
0.367487886,5.74E-03,6.03E-03,983,pos3-coflow-cont
0.36535652,5.71E-03,6.38E-03,984,pos3-coflow-cont
0.294688852,4.60E-03,5.96E-03,985,pos3-coflow-cont
0.281779639,4.40E-03,6.03E-03,986,pos3-coflow-cont
0.332778405,5.20E-03,5.01E-03,987,pos3-coflow-cont
0.271273783,4.24E-03,5.22E-03,988,pos3-coflow-cont
0.304844631,4.76E-03,4.73E-03,989,pos3-coflow-cont
0.235659928,3.68E-03,4.87E-03,990,pos3-coflow-cont
0.408318928,6.38E-03,6.87E-03,980,pos3-coflow-f1
0.289912876,4.53E-03,4.21E-03,981,pos3-coflow-f1
0.26954671,4.21E-03,3.58E-03,982,pos3-coflow-f1
0.358513933,5.60E-03,5.12E-03,983,pos3-coflow-f1
0.344590627,5.38E-03,5.15E-03,984,pos3-coflow-f1
0.294208443,4.60E-03,5.93E-03,985,pos3-coflow-f1
0.281087426,4.39E-03,6.02E-03,986,pos3-coflow-f1
0.33419546,5.22E-03,4.96E-03,987,pos3-coflow-f1
0.31483094,4.92E-03,5.03E-03,988,pos3-coflow-f1
0.301162751,4.71E-03,4.59E-03,989,pos3-coflow-f1
0.236243446,3.69E-03,4.75E-03,990,pos3-coflow-f1
0.405505888,6.34E-03,7.31E-03,980,pos3-coflow-f6
0.3921768,6.13E-03,6.57E-03,981,pos3-coflow-f6
0.388274711,6.07E-03,6.25E-03,982,pos3-coflow-f6
0.358570455,5.60E-03,5.54E-03,983,pos3-coflow-f6
0.35089497,5.48E-03,5.02E-03,984,pos3-coflow-f6
0.29302336,4.58E-03,6.23E-03,985,pos3-coflow-f6
0.282968584,4.42E-03,5.84E-03,986,pos3-coflow-f6
0.32728518,5.11E-03,4.62E-03,987,pos3-coflow-f6
0.319571993,4.99E-03,5.11E-03,988,pos3-coflow-f6
0.300751862,4.70E-03,4.74E-03,989,pos3-coflow-f6
0.23465258,3.67E-03,4.94E-03,990,pos3-coflow-f6
0.408009867,6.38E-03,6.93E-03,980,pos3-counter-cont
0.388891855,6.08E-03,6.06E-03,981,pos3-counter-cont
0.376766912,5.89E-03,5.75E-03,982,pos3-counter-cont
0.371515173,5.80E-03,5.87E-03,983,pos3-counter-cont
0.25434785,3.97E-03,3.71E-03,984,pos3-counter-cont
0.292177602,4.57E-03,6.25E-03,985,pos3-counter-cont
0.279654566,4.37E-03,5.72E-03,986,pos3-counter-cont
0.302752309,4.73E-03,4.77E-03,987,pos3-counter-cont
0.305984692,4.78E-03,4.47E-03,988,pos3-counter-cont
0.300049517,4.69E-03,4.56E-03,989,pos3-counter-cont
0.233501512,3.65E-03,4.95E-03,990,pos3-counter-cont
0.401306455,6.27E-03,7.20E-03,980,pos3-counter-f1
0.386922109,6.05E-03,6.31E-03,981,pos3-counter-f1
0.369869288,5.78E-03,5.27E-03,982,pos3-counter-f1
0.377666238,5.90E-03,6.26E-03,983,pos3-counter-f1
0.34639647,5.41E-03,5.09E-03,984,pos3-counter-f1
0.292272884,4.57E-03,5.90E-03,985,pos3-counter-f1
0.28123751,4.39E-03,6.03E-03,986,pos3-counter-f1
0.236764615,3.70E-03,4.36E-03,987,pos3-counter-f1
0.316337431,4.94E-03,5.08E-03,988,pos3-counter-f1
0.296249604,4.63E-03,4.33E-03,989,pos3-counter-f1
0.234693599,3.67E-03,4.96E-03,990,pos3-counter-f1
0.402152255,6.28E-03,6.76E-03,980,pos3-counter-f6
0.398029543,6.22E-03,6.89E-03,981,pos3-counter-f6
0.385419271,6.02E-03,6.26E-03,982,pos3-counter-f6
0.35663675,5.57E-03,5.40E-03,983,pos3-counter-f6
0.357202351,5.58E-03,5.67E-03,984,pos3-counter-f6
0.294508384,4.60E-03,5.96E-03,985,pos3-counter-f6
0.281796801,4.40E-03,5.90E-03,986,pos3-counter-f6
0.31904801,4.99E-03,4.62E-03,987,pos3-counter-f6
0.312581142,4.88E-03,4.67E-03,988,pos3-counter-f6
0.301441168,4.71E-03,4.48E-03,989,pos3-counter-f6
0.234599186,3.67E-03,4.93E-03,990,pos3-counter-f6
0.39542098,6.18E-03,7.04E-03,980,pos4-coflow-cont
0.397105408,6.20E-03,6.77E-03,981,pos4-coflow-cont
0.37925159,5.93E-03,5.92E-03,982,pos4-coflow-cont
0.365974476,5.72E-03,5.78E-03,983,pos4-coflow-cont
0.347583887,5.43E-03,5.27E-03,984,pos4-coflow-cont
0.292490165,4.57E-03,5.95E-03,985,pos4-coflow-cont
0.282538999,4.41E-03,5.78E-03,986,pos4-coflow-cont
0.306407755,4.79E-03,4.79E-03,987,pos4-coflow-cont
0.311749226,4.87E-03,4.96E-03,988,pos4-coflow-cont
0.297084773,4.64E-03,4.35E-03,989,pos4-coflow-cont
0.235115256,3.67E-03,4.96E-03,990,pos4-coflow-cont
0.406007351,6.34E-03,7.16E-03,980,pos4-coflow-f1
0.396501296,6.20E-03,6.75E-03,981,pos4-coflow-f1
0.381724204,5.96E-03,6.18E-03,982,pos4-coflow-f1
0.360562949,5.63E-03,5.37E-03,983,pos4-coflow-f1
0.343423184,5.37E-03,5.25E-03,984,pos4-coflow-f1
0.295387731,4.62E-03,6.01E-03,985,pos4-coflow-f1
0.280614172,4.38E-03,5.80E-03,986,pos4-coflow-f1
0.329148692,5.14E-03,4.94E-03,987,pos4-coflow-f1
0.311397743,4.87E-03,4.69E-03,988,pos4-coflow-f1
0.303266939,4.74E-03,4.50E-03,989,pos4-coflow-f1
0.235964696,3.69E-03,4.85E-03,990,pos4-coflow-f1
0.411087,6.42E-03,6.97E-03,980,pos4-coflow-f6
0.396575422,6.20E-03,6.74E-03,981,pos4-coflow-f6
0.371919987,5.81E-03,5.72E-03,982,pos4-coflow-f6
0.371268462,5.80E-03,6.23E-03,983,pos4-coflow-f6
0.351636636,5.49E-03,5.28E-03,984,pos4-coflow-f6
0.290838977,4.54E-03,5.93E-03,985,pos4-coflow-f6
0.281083543,4.39E-03,5.91E-03,986,pos4-coflow-f6
0.278281176,4.35E-03,4.93E-03,987,pos4-coflow-f6
0.318617449,4.98E-03,5.15E-03,988,pos4-coflow-f6
0.300481485,4.70E-03,4.49E-03,989,pos4-coflow-f6
0.239312815,3.74E-03,4.73E-03,990,pos4-coflow-f6
0.399225017,6.24E-03,6.91E-03,980,pos4-counter-cont
0.395544145,6.18E-03,6.23E-03,981,pos4-counter-cont
0.384364623,6.01E-03,6.34E-03,982,pos4-counter-cont
0.372049608,5.81E-03,6.00E-03,983,pos4-counter-cont
0.358529722,5.60E-03,5.53E-03,984,pos4-counter-cont
0.292547382,4.57E-03,6.27E-03,985,pos4-counter-cont
0.280730713,4.39E-03,6.02E-03,986,pos4-counter-cont
0.293614418,4.59E-03,4.72E-03,987,pos4-counter-cont
0.312609944,4.88E-03,4.86E-03,988,pos4-counter-cont
0.300004699,4.69E-03,4.39E-03,989,pos4-counter-cont
0.234565672,3.67E-03,4.91E-03,990,pos4-counter-cont
0.39724842,6.21E-03,6.72E-03,980,pos4-counter-f1
0.397366793,6.21E-03,6.89E-03,981,pos4-counter-f1
0.373775807,5.84E-03,5.66E-03,982,pos4-counter-f1
